,actual values,predicted values
0,[-0.40889297],[-0.35053872]
1,[-0.20027528],[-0.11641811]
2,[1.34714815],[0.7846613]
3,[-0.57098907],[-0.44033559]
4,[0.69876374],[0.6116921]
5,[-0.12522479],[-0.2834214]
6,[0.0098553],[0.04285586]
7,[-1.13832543],[-1.09077528]
8,[-0.15899481],[-0.08516803]
9,[-0.10496277],[0.05721018]
10,[1.36065616],[1.61237303]
11,[-0.66554513],[-0.34786774]
12,[0.98918592],[1.49642758]
13,[-0.69931515],[-0.56972556]
14,[0.75279577],[0.67973744]
15,[0.17870541],[-0.1091287]
16,[-0.27381288],[-0.32090771]
17,[-0.36161494],[-0.26069529]
18,[1.76589642],[1.71017707]
19,[-1.07078539],[-1.13594249]
20,[1.29311612],[0.89901363]
21,[-0.19276483],[-0.07160666]
22,[-0.9357053],[-0.98837727]
23,[-0.80062522],[-0.73444877]
24,[0.73928776],[0.86972799]
25,[-0.80062522],[-0.64038886]
26,[0.4826356],[0.50904571]
27,[-0.19276483],[-0.12805269]
28,[-1.30717554],[-1.35550206]
29,[-0.39538496],[0.20537783]
30,[-0.54397305],[-0.54721705]
31,[-0.26030487],[0.030991]
32,[-0.26030487],[-0.57274161]
33,[1.69835638],[1.51181558]
34,[0.65148571],[0.86018253]
35,[-0.63177511],[-0.41220913]
36,[-0.75410364],[-0.57035763]
37,[-0.29407489],[-0.55271683]
38,[-1.03701537],[-0.97156928]
39,[-0.9221973],[-0.83248951]
40,[-0.32784492],[-0.67006805]
41,[-0.19276483],[-0.25319217]
42,[0.89327906],[0.9679437]
43,[0.17870541],[0.30476168]
44,[-1.15183344],[-0.99482225]
45,[-0.80062522],[-0.5856183]
46,[-0.74659318],[-0.6954139]
47,[-0.56423507],[-0.45917965]
48,[-0.32784492],[-0.34679287]
49,[0.68525573],[-0.01986465]
50,[-0.29407489],[0.26384583]
51,[-1.44225563],[-1.10716635]
52,[-0.07119275],[-0.42010584]
53,[-0.19276483],[0.10874539]
54,[-0.24679686],[-0.30632043]
55,[-0.66554513],[-0.51164606]
56,[-0.83439524],[-0.7252119]
57,[-0.7668552],[-0.47632795]
58,[-0.78711721],[-0.87942678]
59,[1.93474653],[2.41455494]
60,[-1.13832543],[-1.01344155]
61,[1.36065616],[0.92031303]
62,[0.21247543],[0.47423453]
63,[0.0098553],[-0.14507407]
64,[-0.69931515],[-1.14546051]
65,[2.46755642],[2.32104576]
66,[1.104004],[0.83171082]
67,[-1.40848561],[-1.11962977]
68,[-0.12522479],[-0.43980855]
69,[2.57637694],[1.04818414]
70,[0.51640562],[0.68979841]
71,[-0.59125108],[-0.41819247]
72,[-1.0842934],[-1.2197958]
73,[-1.07078539],[-1.0367776]
74,[-0.56423507],[-0.50595027]
75,[2.03605659],[1.41089779]
76,[-0.53046505],[-0.634886]
77,[1.12426601],[1.31994849]
78,[2.84653711],[2.50105092]
79,[-0.91004009],[-0.87512002]
80,[-0.06781575],[-0.50383993]
81,[0.11116536],[0.49544484]
82,[-0.9357053],[-0.87361111]
83,[2.71145702],[2.49016824]
84,[-1.12481743],[-1.22439143]
85,[0.13742493],[0.20434161]
86,[-0.66554513],[-0.46887473]
87,[2.88030713],[3.13410197]
88,[1.21206807],[1.39413127]
89,[-0.86816526],[-1.06292151]
90,[0.85410584],[0.69576072]
91,[0.14493539],[0.29681452]
92,[-0.09145477],[-0.04067927]
93,[-0.67905314],[-0.54336177]
94,[-0.01040671],[0.02984985]
95,[-1.00324535],[-1.13983044]
96,[1.66458636],[1.63843793]
97,[-0.59800509],[-0.58997314]
98,[-0.26030487],[-0.00820558]
99,[0.90138387],[1.2242692]
100,[-0.24679686],[0.29526699]
101,[-0.54397305],[-0.091159]
102,[-0.42915498],[-0.59898881]
103,[0.41509556],[0.25727372]
104,[-0.88167327],[-0.68514939]
105,[-0.26030487],[-0.21879727]
106,[-0.86141126],[-0.57619918]
107,[0.53666764],[-0.06583482]
108,[3.11669728],[3.18003699]
109,[-1.00324535],[-0.59442519]
110,[-0.90193528],[-1.02692603]
111,[2.09008863],[1.4566073]
112,[1.63081633],[0.86574241]
113,[-0.26030487],[-0.44182452]
114,[-0.49669502],[0.02690933]
115,[-0.36161494],[-0.24971907]
116,[0.55017564],[1.08375667]
117,[-0.44941699],[-0.53414894]
118,[-1.18695426],[-1.03781374]
119,[-0.73308517],[-0.93896375]
120,[2.77899707],[2.19274083]
121,[-0.34135292],[-0.02666583]
122,[-0.59800509],[-0.45234721]
123,[-1.64487576],[-1.51911074]
124,[-0.68580714],[-0.58880996]
125,[0.07739534],[-0.27923712]
126,[0.59610287],[0.68353088]
127,[1.32688614],[0.13152149]
128,[-0.49669502],[-0.44473632]
129,[-1.3949776],[-1.03564418]
130,[0.68525573],[0.9216433]
131,[0.94190789],[0.37097749]
132,[-0.40889297],[-0.38166763]
133,[1.83343646],[1.14870029]
134,[-1.30717554],[-1.1889338]
135,[0.9554159],[1.62187978]
136,[-0.7668552],[-0.85268006]
137,[1.69835638],[1.11651211]
138,[0.02336331],[0.24410049]
139,[-1.07078539],[-1.29069042]
140,[-0.53046505],[-0.45181562]
141,[1.65107835],[1.51940435]
142,[1.79966644],[1.76596668]
143,[-0.9357053],[-1.171471]
144,[-0.8486597],[-0.78208355]
145,[-0.74659318],[-0.66790577]
